scaffold_group,n_compounds,MW_median,LogP_median,TPSA_median,QED_median,nearest_approved_tanimoto_median,nearest_approved_tanimoto_mean,fraction_Tanimoto_ge_0.4,fraction_Tanimoto_ge_0.6
S1,25652,436.51900000000023,3.779690000000002,79.38000000000001,0.5629520460040974,0.2765957446808511,0.31214356401830856,0.1384687353812568,0.04373927958833619
S2,758,488.5290000000002,3.757700000000003,90.46000000000001,0.48674809739595143,0.24571843251088535,0.2663047939571386,0.036939313984168866,0.013192612137203167
S3,464,533.451,4.229500000000003,90.46000000000001,0.4645537189023777,0.24747371644380933,0.26278900017356943,0.032327586206896554,0.010775862068965518
S4,9466,442.47500000000014,3.6354500000000023,87.38999999999999,0.515183030351188,0.2746175393234217,0.30579969802628665,0.12455102472005071,0.035072892457215295
S5,2893,458.3890000000002,3.8975000000000026,72.86,0.6187000436999719,0.2894736842105263,0.3814107179881789,0.38368475630833043,0.150017283097131
S6,47,438.5060000000003,4.301180000000003,70.0,0.6144482281821225,0.43636363636363634,0.42571148890545624,0.5319148936170213,0.2127659574468085
S7,81,429.35000000000025,3.0866000000000016,51.660000000000004,0.5921503935236099,0.225,0.2717924985229547,0.14814814814814814,0.07407407407407407
S8,15,354.45700000000016,3.8309000000000024,65.12,0.7341727815557757,0.22549019607843138,0.2415827151389268,0.0,0.0
S9,4,509.49300000000017,4.477700000000002,79.165,0.5328535824633844,0.263558106169297,0.2702028841555384,0.0,0.0
S10,63,363.84100000000007,1.5439000000000014,70.0,0.7065636675083199,0.6607142857142857,0.6075804805645828,0.8095238095238095,0.6031746031746031
