scaffold_group,n_compounds,UMAP_center_x,UMAP_center_y,distance_to_approved_center,within_scaffold_dispersion
S1,25652,4.8417673,8.2661705,1.1562779,6.0870123
S2,758,1.0627191,3.3853388,7.307427,13.009777
S3,464,1.9996744,-1.8479266,11.646422,12.261214
S4,9466,5.1359367,6.9562497,2.3613005,8.993059
S5,2893,4.6533165,4.621051,4.7378263,9.788321
S6,47,8.775888,8.962064,3.4510682,11.304701
S7,81,4.681466,3.717216,5.630214,16.863188
S8,15,6.6285925,6.9075994,2.723799,10.663566
S9,4,6.9665365,10.188142,1.8471674,18.407911
S10,63,14.8748045,10.741231,9.639615,11.983352
