group,n_compounds,n_sampled,median_pairwise_tanimoto,IQR_pairwise_tanimoto,intra_scaffold_diversity_1_minus_median
S1,25652,600,0.125,0.046825396825396826,0.875
S2,758,600,0.16129032258064516,0.06197478991596639,0.8387096774193549
S3,464,464,0.19230769230769232,0.2140783744557329,0.8076923076923077
S4,9466,600,0.12962962962962962,0.04606625258799173,0.8703703703703703
S5,2893,600,0.15217391304347827,0.07544312817315399,0.8478260869565217
S6,47,47,0.1262135922330097,0.10142450142450142,0.8737864077669903
S7,81,81,0.15789473684210525,0.08830926874708894,0.8421052631578947
S8,15,15,0.14432989690721648,0.0510276399716513,0.8556701030927836
S9,4,4,0.1650485436893204,0.5406708774325708,0.8349514563106796
S10,63,63,0.31868131868131866,0.2953153704837722,0.6813186813186813
