group,n_compounds,MW_median,MW_IQR,LogP_median,LogP_IQR,TPSA_median,TPSA_IQR,HBD_median,HBD_IQR,HBA_median,HBA_IQR,RotB_median,RotB_IQR,Fsp3_median,Fsp3_IQR,QED_median,QED_IQR
Approved drugs,1630,385.67050000000006,177.56325000000015,2.845360000000001,2.837975000000003,84.86000000000001,66.3875,2.0,2.0,5.0,4.0,5.0,4.0,0.4166666666666667,0.30645743145743143,0.5520425883251816,0.3697241867180967
S1,25652,436.51900000000023,122.07200000000017,3.779690000000002,1.8087250000000017,79.38000000000001,42.53999999999999,1.0,1.0,5.0,2.0,5.0,4.0,0.3333333333333333,0.2152777777777778,0.5629520460040974,0.3115680195694271
S2,758,488.5290000000002,135.4804999999999,3.757700000000003,2.110575000000002,90.46000000000001,39.6225,2.0,3.0,5.0,1.0,4.0,2.0,0.4074074074074074,0.2383512544802867,0.48674809739595143,0.24075385971385294
S3,464,533.451,149.75075000000015,4.229500000000003,1.620675000000002,90.46000000000001,35.572500000000005,3.0,3.0,4.0,1.0,4.0,3.0,0.4444444444444444,0.2161290322580645,0.4645537189023777,0.23502624089576252
S4,9466,442.47500000000014,130.11625000000026,3.6354500000000023,1.9253750000000034,87.38999999999999,42.17999999999999,2.0,2.0,5.0,2.0,5.0,3.0,0.2857142857142857,0.23333333333333336,0.515183030351188,0.30829599611981845
S5,2893,458.3890000000002,100.94200000000018,3.8975000000000026,1.7016000000000027,72.86,32.70999999999998,1.0,1.0,5.0,2.0,4.0,3.0,0.48148148148148145,0.19999999999999996,0.6187000436999719,0.26773244492420323
S6,47,438.5060000000003,137.27000000000032,4.301180000000003,2.071450000000003,70.0,32.685,2.0,1.0,5.0,2.0,2.0,3.0,0.30434782608695654,0.46611394557823127,0.6144482281821225,0.2997061557244236
S7,81,429.35000000000025,103.1720000000002,3.0866000000000016,2.0680800000000037,51.660000000000004,23.439999999999998,0.0,1.0,5.0,1.0,3.0,2.0,0.5333333333333333,0.19799498746867172,0.5921503935236099,0.29243297077747465
S8,15,354.45700000000016,134.62700000000007,3.8309000000000024,0.7261200000000003,65.12,19.55000000000001,1.0,1.0,4.0,2.0,3.0,3.0,0.36363636363636365,0.21387520525451553,0.7341727815557757,0.2921301173080322
S9,4,509.49300000000017,78.45149999999995,4.477700000000002,0.7003750000000002,79.165,22.590000000000003,2.5,3.0,4.5,1.0,3.0,0.0,0.39285714285714285,0.2142857142857143,0.5328535824633844,0.18236709870768086
S10,63,363.84100000000007,94.5680000000001,1.5439000000000014,0.7362000000000006,70.0,31.744999999999997,2.0,1.0,5.0,3.0,2.0,3.5,0.631578947368421,0.1641148325358852,0.7065636675083199,0.2443002378943272
